startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
LLUMO AI,AI Optimisation,Seed Round,1000000.0,India Quotient,,,2026-04-20,Noida
LLUMO AI,AI Optimisation,Seed Round,1000000.0,AumVC,,,2026-04-20,Noida
LLUMO AI,AI Optimisation,Seed Round,1000000.0,Venture Catalyst,,,2026-04-20,Noida
LLUMO AI,AI Optimisation,Seed Round,1000000.0,IIM Indore Alumni Angel fund,,,2026-04-20,Noida
LLUMO AI,AI Optimisation,Seed Round,1000000.0,other angel investors,,,2026-04-20,Noida
Thesys,AI Software,Seed Funding,4000000.0,Together Fund,,,2026-04-20,Chennai
Thesys,AI Software,Seed Funding,4000000.0,8vc,,,2026-04-20,Chennai
30 Sundays,AI Travel Agent,Pre-seed Round,770000.0,Infoedge Ventures,,,2026-04-20,Gurgaon
30 Sundays,AI Travel Agent,Pre-seed Round,770000.0,First Cheque,,,2026-04-20,Gurgaon
30 Sundays,AI Travel Agent,Pre-seed Round,770000.0,Eximius,,,2026-04-20,Gurgaon
30 Sundays,AI Travel Agent,Pre-seed Round,770000.0,Misfits,,,2026-04-20,Gurgaon
30 Sundays,AI Travel Agent,Pre-seed Round,770000.0,other angel investors,,,2026-04-20,Gurgaon
Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Chiratae,,,2026-04-20,Mumbai
Mili,AI Wealth Management Assistant,Seed Round,2000000.0,BoldCap,,,2026-04-20,Mumbai
Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Sparrow Capital,,,2026-04-20,Mumbai
Mili,AI Wealth Management Assistant,Seed Round,2000000.0,SFMG Wealth Advisors,,,2026-04-20,Mumbai
Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Gregg Fisher (Quent Capital),,,2026-04-20,Mumbai
Mili,AI Wealth Management Assistant,Seed Round,2000000.0,Better Capital,,,2026-04-20,Mumbai
Hyperbots,"AI for Finance, Accounting",Seed Round,2000000.0,Kalaari Capital,,,2026-04-20,Dover
Hyperbots,"AI for Finance, Accounting",Seed Round,2000000.0,Sunicon Ventures,,,2026-04-20,Dover
Hyperbots,"AI for Finance, Accounting",Seed Round,2000000.0,Athera Venture Partners,,,2026-04-20,Dover
Nayan Tech,AI for Smart City Solutions,Pre-Series A Round,2000000.0,BEENEXT,,,2026-04-20,New Delhi
Nayan Tech,AI for Smart City Solutions,Pre-Series A Round,2000000.0,We Founder Circle,,,2026-04-20,New Delhi
Nayan Tech,AI for Smart City Solutions,Pre-Series A Round,2000000.0,Venture Catalysts,,,2026-04-20,New Delhi
Nayan Tech,AI for Smart City Solutions,Pre-Series A Round,2000000.0,Lets Venture,,,2026-04-20,New Delhi
Nayan Tech,AI for Smart City Solutions,Pre-Series A Round,2000000.0,FAAD Capital,,,2026-04-20,New Delhi
Haber Nets,AI-Driven Robotics,New Funding Round,38000000.0,Creaegis,,,2026-04-20,Mumbai
Haber Nets,AI-Driven Robotics,New Funding Round,38000000.0,Accel,,,2026-04-20,Mumbai
Haber Nets,AI-Driven Robotics,New Funding Round,38000000.0,BEENEXT Capital,,,2026-04-20,Mumbai
MiClient,AI-driven B2B Sales Platform,Seed Round,3.9,IAN Group,,,2026-04-20,Gurugram
MiClient,AI-driven B2B Sales Platform,Seed Round,3.9,Anicut,,,2026-04-20,Gurugram
MiClient,AI-driven B2B Sales Platform,Seed Round,3.9,GSF,,,2026-04-20,Gurugram
MiClient,AI-driven B2B Sales Platform,Seed Round,3.9,RTAF,,,2026-04-20,Gurugram
MiClient,AI-driven B2B Sales Platform,Seed Round,3.9,Keiretsu,,,2026-04-20,Gurugram
Confido Health,AI-focused HealthTech,Seed Round,3000000.0,Together Fund,,,2026-04-20,Ichalkaranji
Confido Health,AI-focused HealthTech,Seed Round,3000000.0,MedMountain Ventures,,,2026-04-20,Ichalkaranji
Confido Health,AI-focused HealthTech,Seed Round,3000000.0,Rebellion VC,,,2026-04-20,Ichalkaranji
Confido Health,AI-focused HealthTech,Seed Round,3000000.0,DeVC,,,2026-04-20,Ichalkaranji
Confido Health,AI-focused HealthTech,Seed Round,3000000.0,Operators Studio,,,2026-04-20,Ichalkaranji
Confido Health,AI-focused HealthTech,Seed Round,3000000.0,strategic healthcare operators,,,2026-04-20,Ichalkaranji
BiteSpeed,AI-powered Customer OS for E-commerce,Pre-Series A,3500000.0,Peak XV Surge,,,2026-04-20,Bengaluru
BiteSpeed,AI-powered Customer OS for E-commerce,Pre-Series A,3500000.0,Whiteboard Capital,,,2026-04-20,Bengaluru
